type, event, jet, pt, mass, eta, phi, charge
2,5,1,50.2102,0.49761,1.16223,5.54639,0
2,5,1,11.1659,1.68587e-07,1.16341,5.54502,0
2,5,1,6.08969,0.13957,1.231,5.61913,1
2,5,1,7.42832,0.49761,1.23868,5.60762,0
2,5,1,3.15402,-1.19209e-07,1.18359,5.55551,0
2,5,1,8.53787,1.68587e-07,1.20708,5.60026,0
2,5,1,7.37258,0.13957,1.20841,5.59114,-1
2,5,1,24.5929,1.81574e-06,1.20776,5.57633,0
2,5,1,20.0096,1.32746e-06,1.20453,5.58327,0
2,5,1,7.41104,4.91512e-07,1.20101,5.57272,0
2,5,1,3.5224,-1.3328e-07,1.19488,5.57889,0
2,5,1,11.0608,8.34465e-07,1.19988,5.57412,0
2,5,1,50.7632,2.6974e-06,1.20065,5.57967,0
2,5,1,21.9227,1.30587e-06,1.20064,5.57814,0
1,5,1,297.214,25.1098,1.1911,5.58834,-0.0182801
2,5,2,1.02382,2.10734e-08,-1.17296,2.0315,0
2,5,2,1.88314,0.13957,-0.905623,2.34185,1
2,5,2,1.95443,0.13957,-1.05519,2.1194,1
2,5,2,3.74249,0.13957,-0.935743,2.29252,1
2,5,2,11.7973,0.13957,-1.00731,2.20227,-1
2,5,2,2.03351,-4.21468e-08,-1.1374,2.11806,0
2,5,2,6.92067,-1.68587e-07,-1.03601,2.19283,0
2,5,2,1.12463,0.13957,-1.15902,2.13916,-1
2,5,2,1.31421,0.13957,-1.07424,2.20725,1
2,5,2,2.63369,-8.9407e-08,-0.993166,2.35181,0
2,5,2,2.45968,-8.9407e-08,-1.12033,2.19843,0
2,5,2,2.62682,0.13957,-1.07705,2.25893,-1
2,5,2,5.74623,1.68587e-07,-1.11896,2.22548,0
2,5,2,2.06181,0,-1.048,2.32535,0
2,5,2,3.1543,0.13957,-1.12532,2.23979,-1
2,5,2,8.78387,0.13957,-1.12168,2.23848,1
2,5,2,1.42139,0.13957,-1.06968,2.37305,-1
2,5,2,1.57775,0.13957,-1.36235,2.24454,1
2,5,2,3.5412,0.13957,-1.41494,2.51506,1
2,5,2,1.95278,0.13957,-1.44005,2.42055,-1
2,5,2,1.32448,-4.47035e-08,-1.14322,2.43389,0
2,5,2,4.8049,0.13957,-1.22286,2.30846,1
2,5,2,2.66334,0.13957,-1.40249,2.41734,1
2,5,2,2.21598,0.13957,-1.35803,2.34507,-1
2,5,2,1.48477,0.13957,-1.30413,2.32155,-1
2,5,2,4.00124,0.13957,-1.17821,2.43627,1
2,5,2,2.12736,8.42937e-08,-1.18622,2.43705,0
2,5,2,3.26124,5.96046e-08,-1.29361,2.34208,0
2,5,2,3.56414,0.13957,-1.30644,2.35695,-1
2,5,2,5.49775,0.13957,-1.22444,2.47919,-1
2,5,2,3.05065,0.13957,-1.21962,2.4709,1
2,5,2,20.8867,0.13957,-1.21765,2.42285,-1
2,5,2,7.91795,2.06477e-07,-1.2191,2.43736,0
2,5,2,4.34635,2.73143e-07,-1.22258,2.41108,0
2,5,2,2.66261,1.22878e-07,-1.22778,2.42816,0
2,5,2,1.38792,-3.332e-08,-1.26658,2.48743,0
2,5,2,8.51182,0.13957,-1.24352,2.42759,1
2,5,2,8.58455,0.13957,-1.26395,2.41407,1
2,5,2,14.2238,0.13957,-1.26325,2.44235,1
2,5,2,3.47694,-2.30848e-07,-1.35085,2.43259,0
2,5,2,4.29469,0,-1.31979,2.47245,0
