type, event, jet, pt, mass, eta, phi, charge
1,9,2,258.395,56.2286,-0.0898044,6.27179,-0.0564367
2,9,3,2.05046,0.13957,0.770336,2.1578,1
2,9,3,1.3559,-2.28916e-07,0.932169,2.25194,0
2,9,3,44.4307,-2.61174e-06,0.864978,2.24988,0
2,9,3,48.5206,-2.61174e-06,0.866348,2.25244,0
1,9,3,96.3489,2.24612,0.86475,2.24924,0.0212797
#
0,10,3
2,10,1,1.38197,-2.10734e-08,-0.304169,2.33191,0
2,10,1,1.5689,2.10734e-08,-1.05198,2.04729,0
2,10,1,1.05547,0.13957,-0.889485,1.99431,-1
2,10,1,1.46,0.13957,-0.868815,2.4627,-1
2,10,1,2.32845,0.49368,-0.470603,2.32252,-1
2,10,1,1.94681,4.71216e-08,-0.55076,2.10226,0
2,10,1,1.84221,0.49368,-0.610991,2.39059,1
2,10,1,2.06702,-5.16191e-08,-0.599035,2.08796,0
2,10,1,1.00456,-3.332e-08,-0.788902,2.35264,0
2,10,1,1.43711,0,-0.841396,2.22568,0
2,10,1,3.31501,0.13957,-0.715982,2.13528,1
2,10,1,1.95825,0.13957,-0.783359,2.17751,1
2,10,1,3.30183,1.03238e-07,-0.664694,2.19619,0
2,10,1,12.8302,0.93827,-0.755074,2.21134,1
2,10,1,1.42607,2.98023e-08,-0.728422,2.19407,0
2,10,1,11.1677,0.93827,-0.699404,2.26594,-1
2,10,1,3.00287,5.96046e-08,-0.717953,2.25396,0
2,10,1,84.1868,0.13957,-0.711133,2.23716,1
2,10,1,51.6045,0.13957,-0.698746,2.22957,-1
1,10,1,188.673,17.7468,-0.708877,2.23141,0.193325
2,10,2,1.74114,0.13957,-0.679462,6.00785,1
2,10,2,1.95796,0.13957,-0.669818,5.79038,1
2,10,2,2.83355,0.13957,-0.532569,5.67873,-1
2,10,2,13.3309,0.13957,-0.679283,5.64479,1
2,10,2,20.8575,0.13957,-0.645891,5.65647,-1
2,10,2,1.00446,0.13957,-0.596222,5.27292,-1
2,10,2,14.4727,-9.23391e-07,-0.695542,5.44746,0
2,10,2,17.317,0.13957,-0.673719,5.4255,1
2,10,2,13.2826,1.68587e-07,-0.662331,5.446,0
2,10,2,10.589,2.6656e-07,-0.652872,5.43967,0
2,10,2,5.69886,3.15398e-07,-0.639507,5.44476,0
2,10,2,9.75938,0.13957,-0.645438,5.46603,-1
2,10,2,13.1046,7.53946e-07,-0.641132,5.46029,0
1,10,2,125.072,15.4424,-0.662596,5.51829,-0.000856612
2,10,3,2.06048,0.13957,1.08411,5.20142,-1
2,10,3,62.7976,0.13957,1.03198,5.20235,1
2,10,3,26.2888,0.13957,1.00902,5.19772,-1
1,10,3,91.1467,1.57605,1.02661,5.201,0.377943
#
0,11,5
2,11,1,52.6411,9.74896e-06,-0.124204,4.03552,0
2,11,1,18.7377,3.47143e-06,-0.12774,4.03308,0
2,11,1,112.185,-1.3487e-05,-0.131037,4.02833,0
2,11,1,45.8028,-5.56083e-06,-0.132764,4.02908,0
